,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
0,0,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,0,lex,at_least_4,True,1.0
1,1,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,0,lex,at_least_6,True,1.0
2,2,4.0,37.0,21.0,2,2,37,37,True,21,21,1,non,4,0,lex,at_least_6_or_at_most_2,True,1.0
3,3,5.0,37.0,21.0,3,2,37,37,True,21,21,1,non,4,0,lex,even,True,0.75
4,4,4.0,37.0,21.0,2,2,37,37,True,21,21,1,down,4,0,lex,at_most_3,True,1.0
5,5,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,0,lex,at_least_3,True,1.0
6,6,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,0,lex,first_3,False,1.0
7,7,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,0,lex,last_3,False,1.0
8,8,6.0,37.0,21.0,3,3,37,37,True,21,21,1,down,4,0,lex,not_all,True,0.75
9,9,6.0,37.0,21.0,3,3,37,37,False,21,21,1,up,4,0,lex,not_only,True,0.75
10,10,5.0,37.0,21.0,3,2,37,37,True,21,21,1,up,4,0,lex,most,True,0.75
11,11,5.0,37.0,21.0,3,2,37,37,False,21,21,1,up,4,0,lex,M,True,0.75
12,12,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,1,lex,at_least_4,True,1.0
13,13,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,1,lex,at_least_6,True,1.0
14,14,4.0,37.0,21.0,2,2,37,37,True,21,21,1,non,4,1,lex,at_least_6_or_at_most_2,True,1.0
15,15,5.0,37.0,21.0,3,2,37,37,True,21,21,1,non,4,1,lex,even,True,0.75
16,16,4.0,37.0,21.0,2,2,37,37,True,21,21,1,down,4,1,lex,at_most_3,True,1.0
17,17,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,1,lex,at_least_3,True,1.0
18,18,4.0,37.0,21.0,2,2,37,37,True,21,21,1,up,4,1,lex,first_3,False,1.0
